"EmployeeID","FirstName","LastName","Title","ProductName","CategoryName","OrderDate","UnitPrice","Quantity","Discount","sales_no_discount","sales"
5,Steven,Buchanan,Sales Manager,Queso Cabrales,Dairy Products,1996-07-04 00:00:00.000,"14.0000",12,0.0,"168.0000",168.0
5,Steven,Buchanan,Sales Manager,Singaporean Hokkien Fried Mee,Grains/Cereals,1996-07-04 00:00:00.000,"9.8000",10,0.0,"98.0000",98.0
5,Steven,Buchanan,Sales Manager,Mozzarella di Giovanni,Dairy Products,1996-07-04 00:00:00.000,"34.8000",5,0.0,"174.0000",174.0
6,Michael,Suyama,Sales Representative,Tofu,Produce,1996-07-05 00:00:00.000,"18.6000",9,0.0,"167.4000",167.4
6,Michael,Suyama,Sales Representative,Manjimup Dried Apples,Produce,1996-07-05 00:00:00.000,"42.4000",40,0.0,"1696.0000",1696.0
4,Margaret,Peacock,Sales Representative,Jack's New England Clam Chowder,Seafood,1996-07-08 00:00:00.000,"7.7000",10,0.0,"77.0000",77.0
4,Margaret,Peacock,Sales Representative,Manjimup Dried Apples,Produce,1996-07-08 00:00:00.000,"42.4000",35,0.15,"1484.0000",1261.4
4,Margaret,Peacock,Sales Representative,Louisiana Fiery Hot Pepper Sauce,Condiments,1996-07-08 00:00:00.000,"16.8000",15,0.15,"252.0000",214.20001
3,Janet,Leverling,Sales Representative,Gustaf's Knäckebröd,Grains/Cereals,1996-07-08 00:00:00.000,"16.8000",6,0.05,"100.8000",95.76
3,Janet,Leverling,Sales Representative,Ravioli Angelo,Grains/Cereals,1996-07-08 00:00:00.000,"15.6000",15,0.05,"234.0000",222.3
3,Janet,Leverling,Sales Representative,Louisiana Fiery Hot Pepper Sauce,Condiments,1996-07-08 00:00:00.000,"16.8000",20,0.0,"336.0000",336.0
4,Margaret,Peacock,Sales Representative,Sir Rodney's Marmalade,Confections,1996-07-09 00:00:00.000,"64.8000",40,0.05,"2592.0000",2462.4
4,Margaret,Peacock,Sales Representative,Geitost,Dairy Products,1996-07-09 00:00:00.000,"2.0000",25,0.05,"50.0000",47.5
4,Margaret,Peacock,Sales Representative,Camembert Pierrot,Dairy Products,1996-07-09 00:00:00.000,"27.2000",40,0.0,"1088.0000",1088.0
3,Janet,Leverling,Sales Representative,Gorgonzola Telino,Dairy Products,1996-07-10 00:00:00.000,"10.0000",20,0.0,"200.0000",200.0
3,Janet,Leverling,Sales Representative,Chartreuse verte,Beverages,1996-07-10 00:00:00.000,"14.4000",42,0.0,"604.8000",604.8
3,Janet,Leverling,Sales Representative,Maxilaku,Confections,1996-07-10 00:00:00.000,"16.0000",40,0.0,"640.0000",640.0
5,Steven,Buchanan,Sales Manager,Guaraná Fantástica,Beverages,1996-07-11 00:00:00.000,"3.6000",15,0.15,"54.0000",45.9
5,Steven,Buchanan,Sales Manager,Pâté chinois,Meat/Poultry,1996-07-11 00:00:00.000,"19.2000",21,0.15,"403.2000",342.72003
5,Steven,Buchanan,Sales Manager,Longlife Tofu,Produce,1996-07-11 00:00:00.000,"8.0000",21,0.0,"168.0000",168.0
9,Anne,Dodsworth,Sales Representative,Chang,Beverages,1996-07-12 00:00:00.000,"15.2000",20,0.0,"304.0000",304.0
9,Anne,Dodsworth,Sales Representative,Pavlova,Confections,1996-07-12 00:00:00.000,"13.9000",35,0.0,"486.5000",486.5
9,Anne,Dodsworth,Sales Representative,Inlagd Sill,Seafood,1996-07-12 00:00:00.000,"15.2000",25,0.0,"380.0000",380.0
9,Anne,Dodsworth,Sales Representative,Raclette Courdavault,Dairy Products,1996-07-12 00:00:00.000,"44.0000",30,0.0,"1320.0000",1320.0
3,Janet,Leverling,Sales Representative,Perth Pasties,Meat/Poultry,1996-07-15 00:00:00.000,"26.2000",15,0.0,"393.0000",393.0
3,Janet,Leverling,Sales Representative,Original Frankfurter grüne Soße,Condiments,1996-07-15 00:00:00.000,"10.4000",12,0.0,"124.8000",124.8
4,Margaret,Peacock,Sales Representative,Schoggi Schokolade,Confections,1996-07-16 00:00:00.000,"35.1000",25,0.0,"877.5000",877.5
4,Margaret,Peacock,Sales Representative,Chartreuse verte,Beverages,1996-07-16 00:00:00.000,"14.4000",6,0.0,"86.4000",86.4
4,Margaret,Peacock,Sales Representative,Original Frankfurter grüne Soße,Condiments,1996-07-16 00:00:00.000,"10.4000",15,0.0,"156.0000",156.0
1,Nancy,Davolio,Sales Representative,Chang,Beverages,1996-07-17 00:00:00.000,"15.2000",50,0.2,"760.0000",608.0
1,Nancy,Davolio,Sales Representative,Chef Anton's Gumbo Mix,Condiments,1996-07-17 00:00:00.000,"17.0000",65,0.2,"1105.0000",884.0
1,Nancy,Davolio,Sales Representative,Mascarpone Fabioli,Dairy Products,1996-07-17 00:00:00.000,"25.6000",6,0.2,"153.6000",122.880005
4,Margaret,Peacock,Sales Representative,Sir Rodney's Scones,Confections,1996-07-18 00:00:00.000,"8.0000",10,0.0,"80.0000",80.0
4,Margaret,Peacock,Sales Representative,Gravad lax,Seafood,1996-07-18 00:00:00.000,"20.8000",1,0.0,"20.8000",20.8
4,Margaret,Peacock,Sales Representative,Jack's New England Clam Chowder,Seafood,1996-07-19 00:00:00.000,"7.7000",16,0.25,"123.2000",92.399994
4,Margaret,Peacock,Sales Representative,Ravioli Angelo,Grains/Cereals,1996-07-19 00:00:00.000,"15.6000",50,0.0,"780.0000",780.0
4,Margaret,Peacock,Sales Representative,Tarte au sucre,Confections,1996-07-19 00:00:00.000,"39.4000",15,0.25,"591.0000",443.25
4,Margaret,Peacock,Sales Representative,Outback Lager,Beverages,1996-07-19 00:00:00.000,"12.0000",21,0.25,"252.0000",189.0
4,Margaret,Peacock,Sales Representative,Sir Rodney's Scones,Confections,1996-07-19 00:00:00.000,"8.0000",20,0.0,"160.0000",160.0
4,Margaret,Peacock,Sales Representative,Steeleye Stout,Beverages,1996-07-19 00:00:00.000,"14.4000",20,0.0,"288.0000",288.0
